year,dist_id,dem_vote_share,congress,icpsr,nominate_dim1,nominate_dim2,nokken_poole_dim1,nokken_poole_dim2,age,dem_incumbent,dem_prior_vote_share,president,house,senate,median_HH_income,median_age,mortgage_cost,unemp_rate,bachelor_deg_perc,black_perc,HS_diploma_perc,white_perc,redistricted
2012,FL_5,0.7292971681497251,112.0,21115.0,0.483,0.077,0.516,0.028999999999999998,61.0,0,0.32569193956205417,1,0.443678161,0.5204081629999999,18620.0,34.2,830.0,16.8,0.06839940853793222,0.5221706826715965,0.2211975277898537,0.3884164039275107,1.0
2014,FL_5,0.6547497624973044,113.0,29328.0,-0.429,0.192,-0.429,0.228,68.0,1,0.7292971681497251,1,0.462068966,0.540816327,19255.0,34.0,836.0,12.3,0.07377626758751146,0.5290110574131285,0.221789584447675,0.38901830596712283,0.0
2016,FL_5,0.6423323923200106,114.0,29328.0,-0.429,0.192,-0.508,0.387,70.0,1,0.6547497624973044,1,0.43218390799999995,0.44897959200000004,22288.0,33.0,844.0,8.2,0.09318785302589704,0.4769340395910735,0.19929813577612837,0.44978622797406725,0.0
2018,FL_5,0.6676267473282698,115.0,21732.0,-0.253,0.065,-0.254,0.066,70.0,1,0.6423323923200106,0,0.554022989,0.469387755,23885.0,34.0,861.0,8.0,0.09172146604038811,0.47611753008537044,0.21715088970411767,0.4453306819350636,0.0
2006,FL_6,0.4012115951939473,109.0,15627.0,0.5539999999999999,-0.075,0.654,-0.13,65.0,0,0.3559302903754229,0,0.464367816,0.484848485,22554.0,38.4,822.0,6.4,0.08583418598493568,0.13651961143036576,0.22646382207012722,0.7961033932650946,0.0
2008,FL_6,0.39112484898268335,110.0,15627.0,0.5539999999999999,-0.075,0.555,-0.11199999999999999,67.0,0,0.4012115951939473,0,0.535632184,0.5,25152.0,37.8,928.0,6.8,0.09477142000381648,0.1425133762728834,0.21112578776891947,0.7886957793181385,0.0
2010,FL_6,0.0,111.0,15627.0,0.5539999999999999,-0.075,0.5539999999999999,-0.226,69.0,0,0.39112484898268335,1,0.590804598,0.581632653,22951.0,39.3,906.0,13.7,0.09777749361871646,0.14882776190312252,0.20787000378696596,0.7698127173202052,0.0
2012,FL_6,0.42776630817255606,112.0,15627.0,0.5539999999999999,-0.075,0.623,-0.34299999999999997,71.0,0,0.0,1,0.443678161,0.5204081629999999,22462.0,46.4,886.0,10.2,0.13251020012203593,0.10611079399268347,0.2207205180621596,0.8335095449522401,1.0
2014,FL_6,0.3745546748326856,113.0,21318.0,0.6629999999999999,-0.105,0.6940000000000001,-0.134,36.0,0,0.42776630817255606,1,0.462068966,0.540816327,24985.0,46.8,892.0,6.5,0.1257871205009313,0.09228618512666611,0.22866606255663532,0.8528616203100524,0.0
2016,FL_6,0.4143264667965,114.0,21318.0,0.6629999999999999,-0.105,0.631,-0.135,38.0,0,0.3745546748326856,1,0.43218390799999995,0.44897959200000004,25241.0,47.5,868.0,6.0,0.11226985444539578,0.10259279351115352,0.23216318847589232,0.8413056123816184,0.0
