congress,year,delsouth,state_fips,contest_uid,inc,king_dist,lewis_dist,state_name,turnout,inc,vote_share,geom_uid
114.0,2014.0,0.0,8.0,114008005,-1,,5.0,colorado,262855.0,-1,0.4020201251640638,008113114005
114.0,2014.0,0.0,8.0,114008006,-1,,6.0,colorado,262314.0,-1,0.4530715097173617,008113114006
114.0,2014.0,0.0,8.0,114008007,1,,7.0,colorado,269143.0,1,0.5507295378293323,008113114007
114.0,2014.0,0.0,9.0,114009001,1,,1.0,connecticut,206039.0,1,0.6184751430554409,009113114001
114.0,2014.0,0.0,9.0,114009002,1,,2.0,connecticut,212131.0,1,0.6189288694250251,009113114002
114.0,2014.0,0.0,9.0,114009003,1,,3.0,connecticut,199463.0,1,0.6517950697623118,009113114003
114.0,2014.0,0.0,9.0,114009004,1,,4.0,connecticut,189610.0,1,0.5347871947682085,009113114004
114.0,2014.0,0.0,9.0,114009005,1,,5.0,connecticut,198660.0,1,0.5348635860263767,009113114005
114.0,2014.0,0.0,10.0,114010000,1,,0.0,delaware,222397.0,1,0.617144116152646,010103114000
114.0,2014.0,1.0,12.0,114012001,-1,,1.0,florida,220062.0,-1,0.24982050513037235,012113114001
114.0,2014.0,1.0,12.0,114012002,-1,,2.0,florida,249358.0,-1,0.5056825928985635,012113114002
114.0,2014.0,1.0,12.0,114012003,-1,,3.0,florida,222601.0,-1,0.3320290564732414,012113114003
114.0,2014.0,1.0,12.0,114012004,-1,,4.0,florida,177887.0,-1,0.0,012113114004
114.0,2014.0,1.0,12.0,114012005,1,,5.0,florida,171577.0,1,0.6547497624973044,012113114005
114.0,2014.0,1.0,12.0,114012006,-1,,6.0,florida,265817.0,-1,0.3745546748326856,012113114006
114.0,2014.0,1.0,12.0,114012007,-1,,7.0,florida,217485.0,-1,0.3357059107524657,012113114007
114.0,2014.0,1.0,12.0,114012008,-1,,8.0,florida,274452.0,-1,0.3414950519580837,012113114008
114.0,2014.0,1.0,12.0,114012009,1,,9.0,florida,168813.0,1,0.5559405969919379,012113114009
114.0,2014.0,1.0,12.0,114012010,-1,,10.0,florida,232554.0,-1,0.3845386447878773,012113114010
114.0,2014.0,1.0,12.0,114012011,-1,,11.0,florida,272294.0,-1,0.3334116800223288,012113114011
114.0,2014.0,1.0,12.0,114012012,-1,,12.0,florida,,-1,0.0,012113114012
114.0,2014.0,1.0,12.0,114012013,-1,,13.0,florida,168172.0,-1,0.0,012113114013
114.0,2014.0,1.0,12.0,114012014,1,,14.0,florida,,1,1.0,012113114014
114.0,2014.0,1.0,12.0,114012015,-1,,15.0,florida,213582.0,-1,0.3971870288694741,012113114015
114.0,2014.0,1.0,12.0,114012016,-1,,16.0,florida,274609.0,-1,0.3841206952430545,012113114016
114.0,2014.0,1.0,12.0,114012017,-1,,17.0,florida,223756.0,-1,0.3676460072579059,012113114017
114.0,2014.0,1.0,12.0,114012018,1,,18.0,florida,253374.0,1,0.5978435040690836,012113114018
114.0,2014.0,1.0,12.0,114012019,-1,,19.0,florida,240178.0,-1,0.3365170831633205,012113114019
114.0,2014.0,1.0,12.0,114012020,1,,20.0,florida,157466.0,1,0.8160364777158243,012113114020
114.0,2014.0,1.0,12.0,114012021,1,,21.0,florida,153395.0,1,1.0,012113114021
114.0,2014.0,1.0,1.0,114001001,-1,,1.0,alabama,152036.0,-1,0.3175432134494462,001113114001
114.0,2014.0,1.0,1.0,114001002,-1,,2.0,alabama,167795.0,-1,0.3259453499806311,001113114002
114.0,2014.0,1.0,12.0,114012022,1,,22.0,florida,216089.0,1,0.5803349545789004,012113114022
