year,district,mortgage_cost
2015,"Congressional District 4 (114th Congress), Utah",1158
2015,"Congressional District (at Large) (114th Congress), Vermont",1085
2015,"Congressional District 1 (114th Congress), Virginia",1394
2015,"Congressional District 2 (114th Congress), Virginia",1245
2015,"Congressional District 3 (114th Congress), Virginia",982
2015,"Congressional District 4 (114th Congress), Virginia",1157
2015,"Congressional District 5 (114th Congress), Virginia",803
2015,"Congressional District 6 (114th Congress), Virginia",816
2015,"Congressional District 7 (114th Congress), Virginia",1259
2015,"Congressional District 8 (114th Congress), Virginia",1849
2015,"Congressional District 9 (114th Congress), Virginia",592
2015,"Congressional District 10 (114th Congress), Virginia",1967
2015,"Congressional District 11 (114th Congress), Virginia",1889
2015,"Congressional District 1 (114th Congress), Washington",1582
2015,"Congressional District 2 (114th Congress), Washington",1274
2015,"Congressional District 3 (114th Congress), Washington",1088
2015,"Congressional District 4 (114th Congress), Washington",835
2015,"Congressional District 5 (114th Congress), Washington",848
2015,"Congressional District 6 (114th Congress), Washington",1043
2015,"Congressional District 7 (114th Congress), Washington",1507
2015,"Congressional District 8 (114th Congress), Washington",1416
2015,"Congressional District 9 (114th Congress), Washington",1437
2015,"Congressional District 10 (114th Congress), Washington",1162
2015,"Congressional District 1 (114th Congress), West Virginia",583
2015,"Congressional District 2 (114th Congress), West Virginia",663
2015,"Congressional District 3 (114th Congress), West Virginia",488
2015,"Congressional District 1 (114th Congress), Wisconsin",1015
2015,"Congressional District 2 (114th Congress), Wisconsin",1050
2015,"Congressional District 3 (114th Congress), Wisconsin",810
2015,"Congressional District 4 (114th Congress), Wisconsin",880
2015,"Congressional District 5 (114th Congress), Wisconsin",1080
2015,"Congressional District 6 (114th Congress), Wisconsin",848
2015,"Congressional District 7 (114th Congress), Wisconsin",786
2015,"Congressional District 8 (114th Congress), Wisconsin",844
2015,"Congressional District (at Large) (114th Congress), Wyoming",858
2015,"Resident Commissioner District (at Large) (114th Congress), Puerto Rico",325
