year,district,black_pop,total_pop,white_pop
2007,"Congressional District 1 (110th Congress), New Hampshire",7868,664614,630402
2007,"Congressional District 2 (110th Congress), New Hampshire",4678,651214,616621
2007,"Congressional District 1 (110th Congress), New Jersey",116125,667817,467847
2007,"Congressional District 2 (110th Congress), New Jersey",98866,687908,511360
2007,"Congressional District 3 (110th Congress), New Jersey",59716,669354,558457
2007,"Congressional District 4 (110th Congress), New Jersey",70094,720390,587854
2007,"Congressional District 5 (110th Congress), New Jersey",14289,668005,574545
2007,"Congressional District 6 (110th Congress), New Jersey",108477,673587,420456
2007,"Congressional District 7 (110th Congress), New Jersey",34880,664901,530094
2007,"Congressional District 8 (110th Congress), New Jersey",87503,640822,366585
2007,"Congressional District 9 (110th Congress), New Jersey",49924,647805,440136
2007,"Congressional District 10 (110th Congress), New Jersey",361980,636131,157839
2007,"Congressional District 11 (110th Congress), New Jersey",20438,672919,564732
2007,"Congressional District 12 (110th Congress), New Jersey",75277,687856,493318
2007,"Congressional District 13 (110th Congress), New Jersey",88260,648425,364357
2007,"Congressional District 1 (110th Congress), New Mexico",19120,671374,463862
2007,"Congressional District 2 (110th Congress), New Mexico",13366,639821,490260
2007,"Congressional District 3 (110th Congress), New Mexico",12160,658720,406256
2007,"Congressional District 1 (110th Congress), New York",26131,667336,589898
2007,"Congressional District 2 (110th Congress), New York",75704,679439,530390
2007,"Congressional District 3 (110th Congress), New York",15386,626201,551136
2007,"Congressional District 4 (110th Congress), New York",128671,651272,414864
2007,"Congressional District 5 (110th Congress), New York",33353,639832,349795
2007,"Congressional District 6 (110th Congress), New York",360118,672569,112761
2007,"Congressional District 7 (110th Congress), New York",120208,682906,272041
2007,"Congressional District 8 (110th Congress), New York",33362,708307,537034
2007,"Congressional District 9 (110th Congress), New York",35048,681878,461410
2007,"Congressional District 10 (110th Congress), New York",423594,674977,151799
2007,"Congressional District 11 (110th Congress), New York",382648,658367,178059
2007,"Congressional District 12 (110th Congress), New York",63581,697747,295669
2007,"Congressional District 13 (110th Congress), New York",49745,709685,528099
2007,"Congressional District 14 (110th Congress), New York",25924,631669,472087
2007,"Congressional District 15 (110th Congress), New York",215653,678576,208464
2007,"Congressional District 16 (110th Congress), New York",215644,663352,81461
2007,"Congressional District 17 (110th Congress), New York",218879,686042,302014
2007,"Congressional District 18 (110th Congress), New York",62651,659342,467260
2007,"Congressional District 19 (110th Congress), New York",44080,712240,583846
2007,"Congressional District 20 (110th Congress), New York",15702,683479,642145
2007,"Congressional District 21 (110th Congress), New York",56414,663871,552586
2007,"Congressional District 22 (110th Congress), New York",58580,663688,533796
2007,"Congressional District 23 (110th Congress), New York",17173,655608,611176
2007,"Congressional District 24 (110th Congress), New York",27127,648904,593101
2007,"Congressional District 25 (110th Congress), New York",49276,649892,564138
2007,"Congressional District 26 (110th Congress), New York",27796,670140,610079
2007,"Congressional District 27 (110th Congress), New York",34200,620312,556282
2007,"Congressional District 28 (110th Congress), New York",178040,607190,385006
2007,"Congressional District 29 (110th Congress), New York",16282,652908,606493
2007,"Congressional District 1 (110th Congress), North Carolina",302506,603971,267004
2007,"Congressional District 2 (110th Congress), North Carolina",204399,710455,434297
2007,"Congressional District 3 (110th Congress), North Carolina",110786,685427,527558
2007,"Congressional District 4 (110th Congress), North Carolina",140735,762638,517792
2007,"Congressional District 5 (110th Congress), North Carolina",49498,671708,586870
2007,"Congressional District 6 (110th Congress), North Carolina",65892,697724,582865
2007,"Congressional District 7 (110th Congress), North Carolina",148685,707580,462519
2007,"Congressional District 8 (110th Congress), North Carolina",189886,664875,405420
2007,"Congressional District 9 (110th Congress), North Carolina",112366,816512,643242
2007,"Congressional District 10 (110th Congress), North Carolina",60613,674074,566928
2007,"Congressional District 11 (110th Congress), North Carolina",34028,669393,602281
2007,"Congressional District 12 (110th Congress), North Carolina",296551,667075,295394
2007,"Congressional District 13 (110th Congress), North Carolina",212135,729600,448142
2007,"Congressional District (at Large) (110th Congress), North Dakota",5301,639715,580333
2007,"Congressional District 1 (110th Congress), Ohio",178104,625870,421499
2007,"Congressional District 2 (110th Congress), Ohio",33034,674876,614813
2007,"Congressional District 3 (110th Congress), Ohio",103806,646022,513574
2007,"Congressional District 4 (110th Congress), Ohio",32611,631086,576360
2007,"Congressional District 5 (110th Congress), Ohio",6402,626085,595684
2007,"Congressional District 6 (110th Congress), Ohio",16937,622867,593163
2007,"Congressional District 7 (110th Congress), Ohio",58876,657646,570411
2007,"Congressional District 8 (110th Congress), Ohio",34516,642968,580988
2007,"Congressional District 9 (110th Congress), Ohio",85031,625820,503892
2007,"Congressional District 10 (110th Congress), Ohio",39471,593926,520395
2007,"Congressional District 11 (110th Congress), Ohio",328829,557937,202134
2007,"Congressional District 12 (110th Congress), Ohio",149633,719761,521625
2007,"Congressional District 13 (110th Congress), Ohio",80309,647767,536746
2007,"Congressional District 14 (110th Congress), Ohio",22005,652921,608310
2007,"Congressional District 15 (110th Congress), Ohio",57607,658962,554281
2007,"Congressional District 16 (110th Congress), Ohio",30710,646180,597287
2007,"Congressional District 17 (110th Congress), Ohio",75066,599975,508164
2007,"Congressional District 18 (110th Congress), Ohio",11727,636248,610432
2007,"Congressional District 1 (110th Congress), Oklahoma",69176,724669,537997
2007,"Congressional District 2 (110th Congress), Oklahoma",27372,716943,505913
2007,"Congressional District 3 (110th Congress), Oklahoma",27324,704687,573168
2007,"Congressional District 4 (110th Congress), Oklahoma",51760,743575,580762
2007,"Congressional District 5 (110th Congress), Oklahoma",94700,727442,512250
