year,district,unemp_rate
2017,"Congressional District 32 (115th Congress), Texas",4.7
2017,"Congressional District 33 (115th Congress), Texas",6.2
2017,"Congressional District 34 (115th Congress), Texas",5.8
2017,"Congressional District 35 (115th Congress), Texas",5.2
2017,"Congressional District 36 (115th Congress), Texas",7.7
2017,"Congressional District 1 (115th Congress), Utah",3.2
2017,"Congressional District 2 (115th Congress), Utah",4.0
2017,"Congressional District 3 (115th Congress), Utah",3.6
2017,"Congressional District 4 (115th Congress), Utah",3.6
2017,"Congressional District (at Large) (115th Congress), Vermont",3.8
2017,"Congressional District 1 (115th Congress), Virginia",4.4
2017,"Congressional District 2 (115th Congress), Virginia",4.4
2017,"Congressional District 3 (115th Congress), Virginia",7.0
2017,"Congressional District 4 (115th Congress), Virginia",6.5
2017,"Congressional District 5 (115th Congress), Virginia",4.4
2017,"Congressional District 6 (115th Congress), Virginia",4.2
2017,"Congressional District 7 (115th Congress), Virginia",4.4
2017,"Congressional District 8 (115th Congress), Virginia",3.5
2017,"Congressional District 9 (115th Congress), Virginia",4.9
2017,"Congressional District 10 (115th Congress), Virginia",3.6
2017,"Congressional District 11 (115th Congress), Virginia",4.0
2017,"Congressional District 1 (115th Congress), Washington",3.6
2017,"Congressional District 2 (115th Congress), Washington",4.5
2017,"Congressional District 3 (115th Congress), Washington",6.3
2017,"Congressional District 4 (115th Congress), Washington",5.2
2017,"Congressional District 5 (115th Congress), Washington",5.4
2017,"Congressional District 6 (115th Congress), Washington",5.1
2017,"Congressional District 7 (115th Congress), Washington",3.8
2017,"Congressional District 8 (115th Congress), Washington",4.7
2017,"Congressional District 9 (115th Congress), Washington",4.9
2017,"Congressional District 10 (115th Congress), Washington",6.4
2017,"Congressional District 1 (115th Congress), West Virginia",6.4
2017,"Congressional District 2 (115th Congress), West Virginia",6.8
2017,"Congressional District 3 (115th Congress), West Virginia",6.9
2017,"Congressional District 1 (115th Congress), Wisconsin",4.7
2017,"Congressional District 2 (115th Congress), Wisconsin",2.7
2017,"Congressional District 3 (115th Congress), Wisconsin",2.9
2017,"Congressional District 4 (115th Congress), Wisconsin",5.7
2017,"Congressional District 5 (115th Congress), Wisconsin",2.9
2017,"Congressional District 6 (115th Congress), Wisconsin",3.0
2017,"Congressional District 7 (115th Congress), Wisconsin",3.6
2017,"Congressional District 8 (115th Congress), Wisconsin",2.8
2017,"Congressional District (at Large) (115th Congress), Wyoming",5.2
2017,"Resident Commissioner District (at Large) (115th Congress), Puerto Rico",16.4
