year,district,bach_deg_num,median_HH_income,high_school_num
2012,"Congressional District 3 (113th Congress), South Carolina",54333,20657,143812
2012,"Congressional District 4 (113th Congress), South Carolina",80351,22509,124543
2012,"Congressional District 5 (113th Congress), South Carolina",59271,22095,142939
2012,"Congressional District 6 (113th Congress), South Carolina",52211,18675,141946
2012,"Congressional District 7 (113th Congress), South Carolina",58619,20449,151163
2012,"Congressional District (at Large) (113th Congress), South Dakota",98719,25866,178006
2012,"Congressional District 1 (113th Congress), Tennessee",57633,19956,187419
2012,"Congressional District 2 (113th Congress), Tennessee",88289,23569,143827
2012,"Congressional District 3 (113th Congress), Tennessee",65857,21402,166614
2012,"Congressional District 4 (113th Congress), Tennessee",67496,22515,174837
2012,"Congressional District 5 (113th Congress), Tennessee",107062,25765,128155
2012,"Congressional District 6 (113th Congress), Tennessee",65393,22989,188662
2012,"Congressional District 7 (113th Congress), Tennessee",82329,24587,158891
2012,"Congressional District 8 (113th Congress), Tennessee",81583,25457,152514
2012,"Congressional District 9 (113th Congress), Tennessee",64644,20786,132723
2012,"Congressional District 1 (113th Congress), Texas",56714,21465,137750
2012,"Congressional District 2 (113th Congress), Texas",117213,33725,97539
2012,"Congressional District 3 (113th Congress), Texas",158408,40000,67230
2012,"Congressional District 4 (113th Congress), Texas",57717,22788,151685
2012,"Congressional District 5 (113th Congress), Texas",52362,23066,140859
2012,"Congressional District 6 (113th Congress), Texas",93638,28672,108666
2012,"Congressional District 7 (113th Congress), Texas",137963,36011,80205
2012,"Congressional District 8 (113th Congress), Texas",92474,30117,128180
2012,"Congressional District 9 (113th Congress), Texas",74214,21668,119172
2012,"Congressional District 10 (113th Congress), Texas",110194,30789,105302
2012,"Congressional District 11 (113th Congress), Texas",59585,23903,141206
2012,"Congressional District 12 (113th Congress), Texas",84733,30134,120489
2012,"Congressional District 13 (113th Congress), Texas",61194,24013,137337
2012,"Congressional District 14 (113th Congress), Texas",72128,25821,136497
2012,"Congressional District 15 (113th Congress), Texas",51514,18163,107569
2012,"Congressional District 16 (113th Congress), Texas",66957,20280,105420
2012,"Congressional District 17 (113th Congress), Texas",84374,22428,109365
2012,"Congressional District 18 (113th Congress), Texas",54662,20553,129114
2012,"Congressional District 19 (113th Congress), Texas",60478,21675,123594
2012,"Congressional District 20 (113th Congress), Texas",63786,22508,113771
2012,"Congressional District 21 (113th Congress), Texas",140127,31395,95295
2012,"Congressional District 22 (113th Congress), Texas",125709,36986,82698
2012,"Congressional District 23 (113th Congress), Texas",60126,21121,106860
2012,"Congressional District 24 (113th Congress), Texas",136919,34792,92433
2012,"Congressional District 25 (113th Congress), Texas",100288,28221,109427
2012,"Congressional District 26 (113th Congress), Texas",127479,35646,89663
2012,"Congressional District 27 (113th Congress), Texas",55803,22864,138097
2012,"Congressional District 28 (113th Congress), Texas",48854,19858,107526
2012,"Congressional District 29 (113th Congress), Texas",24271,19519,109529
2012,"Congressional District 30 (113th Congress), Texas",58318,22216,126836
2012,"Congressional District 31 (113th Congress), Texas",103274,30915,115266
2012,"Congressional District 32 (113th Congress), Texas",128078,30912,89756
2012,"Congressional District 33 (113th Congress), Texas",28421,18606,114259
2012,"Congressional District 34 (113th Congress), Texas",41930,16687,110629
2012,"Congressional District 35 (113th Congress), Texas",57566,20286,122679
2012,"Congressional District 36 (113th Congress), Texas",55823,26329,152594
2012,"Congressional District 1 (113th Congress), Utah",76379,26329,108829
2012,"Congressional District 2 (113th Congress), Utah",83251,23729,97872
2012,"Congressional District 3 (113th Congress), Utah",96947,22656,70861
2012,"Congressional District 4 (113th Congress), Utah",77370,26395,100901
2012,"Congressional District (at Large) (113th Congress), Vermont",95120,26323,132522
2012,"Congressional District 1 (113th Congress), Virginia",103349,33878,128133
2012,"Congressional District 2 (113th Congress), Virginia",91243,30119,120216
2012,"Congressional District 3 (113th Congress), Virginia",68215,22335,139515
2012,"Congressional District 4 (113th Congress), Virginia",80440,29226,143931
2012,"Congressional District 5 (113th Congress), Virginia",70757,23653,160201
2012,"Congressional District 6 (113th Congress), Virginia",81075,23155,165064
2012,"Congressional District 7 (113th Congress), Virginia",121152,34165,125371
2012,"Congressional District 8 (113th Congress), Virginia",166926,49108,71919
2012,"Congressional District 9 (113th Congress), Virginia",53002,19779,168147
2012,"Congressional District 10 (113th Congress), Virginia",147528,45395,84368
2012,"Congressional District 11 (113th Congress), Virginia",148639,44008,85426
2012,"Congressional District 1 (113th Congress), Washington",118226,35796,98173
2012,"Congressional District 2 (113th Congress), Washington",91719,28978,112816
2012,"Congressional District 3 (113th Congress), Washington",70412,25624,129743
2012,"Congressional District 4 (113th Congress), Washington",49278,22510,110991
2012,"Congressional District 5 (113th Congress), Washington",77651,23346,114253
2012,"Congressional District 6 (113th Congress), Washington",82420,26764,130375
2012,"Congressional District 7 (113th Congress), Washington",172381,36166,67860
2012,"Congressional District 8 (113th Congress), Washington",96476,33377,116937
2012,"Congressional District 9 (113th Congress), Washington",114582,30344,97303
