year,district,bach_deg_num,high_school_num,median_HH_income
2017,"Congressional District 13 (115th Congress), Texas",66740,145731,26951
2017,"Congressional District 14 (115th Congress), Texas",81426,150315,30282
2017,"Congressional District 15 (115th Congress), Texas",62152,118358,19978
2017,"Congressional District 16 (115th Congress), Texas",72730,106163,22785
2017,"Congressional District 17 (115th Congress), Texas",95018,124687,26779
2017,"Congressional District 18 (115th Congress), Texas",70839,140639,26151
2017,"Congressional District 19 (115th Congress), Texas",67842,133070,24736
2017,"Congressional District 20 (115th Congress), Texas",80895,135226,25183
2017,"Congressional District 21 (115th Congress), Texas",162515,102894,35571
2017,"Congressional District 22 (115th Congress), Texas",165234,92266,40433
2017,"Congressional District 23 (115th Congress), Texas",73665,131585,23991
2017,"Congressional District 24 (115th Congress), Texas",161339,102225,40820
2017,"Congressional District 25 (115th Congress), Texas",128004,116678,33190
2017,"Congressional District 26 (115th Congress), Texas",172391,98465,41293
2017,"Congressional District 27 (115th Congress), Texas",66462,149556,26576
2017,"Congressional District 28 (115th Congress), Texas",56162,132063,22338
2017,"Congressional District 29 (115th Congress), Texas",33708,131005,23928
2017,"Congressional District 30 (115th Congress), Texas",66472,139846,27272
2017,"Congressional District 31 (115th Congress), Texas",132241,126346,34533
2017,"Congressional District 32 (115th Congress), Texas",142848,88272,35753
2017,"Congressional District 33 (115th Congress), Texas",31985,130648,24119
2017,"Congressional District 34 (115th Congress), Texas",48991,123688,19277
2017,"Congressional District 35 (115th Congress), Texas",82009,150951,26340
2017,"Congressional District 36 (115th Congress), Texas",61286,159552,29608
2017,"Congressional District 1 (115th Congress), Utah",93359,111799,29423
2017,"Congressional District 2 (115th Congress), Utah",98790,111194,28842
2017,"Congressional District 3 (115th Congress), Utah",116292,70331,27216
2017,"Congressional District 4 (115th Congress), Utah",108363,114754,31811
2017,"Congressional District (at Large) (115th Congress), Vermont",98774,127426,29800
2017,"Congressional District 1 (115th Congress), Virginia",123179,134568,38171
2017,"Congressional District 2 (115th Congress), Virginia",106167,112738,32650
2017,"Congressional District 3 (115th Congress), Virginia",81599,136462,27567
2017,"Congressional District 4 (115th Congress), Virginia",94284,149448,28639
2017,"Congressional District 5 (115th Congress), Virginia",89616,151881,27458
2017,"Congressional District 6 (115th Congress), Virginia",85241,164627,26947
2017,"Congressional District 7 (115th Congress), Virginia",134603,133743,37123
2017,"Congressional District 8 (115th Congress), Virginia",176220,74778,53745
2017,"Congressional District 9 (115th Congress), Virginia",58121,168709,22316
2017,"Congressional District 10 (115th Congress), Virginia",169183,89018,50228
2017,"Congressional District 11 (115th Congress), Virginia",151977,80515,49341
2017,"Congressional District 1 (115th Congress), Washington",142619,99582,42201
2017,"Congressional District 2 (115th Congress), Washington",113327,119029,33197
2017,"Congressional District 3 (115th Congress), Washington",87448,129904,31329
2017,"Congressional District 4 (115th Congress), Washington",57352,122244,26335
2017,"Congressional District 5 (115th Congress), Washington",89845,113825,27660
2017,"Congressional District 6 (115th Congress), Washington",94679,126901,32158
2017,"Congressional District 7 (115th Congress), Washington",199907,61370,47977
2017,"Congressional District 8 (115th Congress), Washington",110853,124297,37099
2017,"Congressional District 9 (115th Congress), Washington",142711,103303,37191
