,district,party,votes,year
793,SC-01,GOP,140792,2018
794,SC-02,GOP,141577,2018
795,SC-02,Dem,104272,2018
796,SC-02,,3042,2018
797,SC-03,GOP,152417,2018
798,SC-03,Dem,69662,2018
799,SC-03,,2679,2018
800,SC-04,GOP,144990,2018
801,SC-04,Dem,88849,2018
802,SC-04,,9160,2018
803,SC-05,GOP,140417,2018
804,SC-05,Dem,102167,2018
805,SC-05,,3379,2018
806,SC-06,Dem,139006,2018
807,SC-06,GOP,56377,2018
808,SC-06,,3089,2018
809,SC-07,GOP,140938,2018
810,SC-07,Dem,95438,2018
811,SD-00,GOP,202673,2018
812,SD-00,Dem,121002,2018
813,SD-00,,12234,2018
814,TN-01,GOP,172708,2018
815,TN-01,Dem,47087,2018
816,TN-01,,4303,2018
817,TN-02,GOP,171994,2018
818,TN-02,Dem,86635,2018
819,TN-02,,2578,2018
820,TN-03,GOP,156385,2018
821,TN-03,Dem,84632,2018
822,TN-03,,4514,2018
823,TN-04,GOP,147196,2018
824,TN-04,Dem,77955,2018
825,TN-04,,7050,2018
826,TN-05,Dem,177661,2018
827,TN-05,GOP,84196,2018
828,TN-06,GOP,172682,2018
829,TN-06,Dem,70298,2018
830,TN-06,,5550,2018
831,TN-07,GOP,169769,2018
832,TN-07,Dem,81574,2018
833,TN-07,,2648,2018
834,TN-08,GOP,166400,2018
835,TN-08,Dem,74126,2018
836,TN-08,,5509,2018
837,TN-09,Dem,143690,2018
838,TN-09,GOP,34710,2018
839,TN-09,,1414,2018
840,TX-01,GOP,167734,2018
841,TX-01,Dem,60957,2018
