year,district,mortgage_cost,median_age,bach_deg_num,median_HH_income,high_school_num,unemp_rate
2009,"Congressional District 1 (111th Congress), Michigan",659,44.9,52891.0,19757.0,176472.0,13.1
2009,"Congressional District 2 (111th Congress), Michigan",816,37.8,65643.0,21355.0,157329.0,13.8
2009,"Congressional District 3 (111th Congress), Michigan",916,34.9,86947.0,24045.0,129761.0,12.3
2009,"Congressional District 4 (111th Congress), Michigan",759,40.0,58158.0,20537.0,158540.0,13.3
2009,"Congressional District 5 (111th Congress), Michigan",746,38.6,49467.0,22354.0,147071.0,15.8
2009,"Congressional District 6 (111th Congress), Michigan",761,37.6,62749.0,21388.0,140316.0,15.0
2009,"Congressional District 7 (111th Congress), Michigan",837,39.9,65481.0,23543.0,142390.0,13.8
2009,"Congressional District 8 (111th Congress), Michigan",1037,37.2,86928.0,26262.0,117588.0,12.0
2009,"Congressional District 9 (111th Congress), Michigan",1230,39.9,118260.0,32266.0,85579.0,11.4
2009,"Congressional District 10 (111th Congress), Michigan",1030,40.0,63487.0,25534.0,165698.0,15.1
2009,"Congressional District 11 (111th Congress), Michigan",1145,39.6,95807.0,29382.0,115785.0,11.5
2009,"Congressional District 12 (111th Congress), Michigan",916,39.3,64033.0,24331.0,138493.0,15.9
2009,"Congressional District 13 (111th Congress), Michigan",786,35.1,35635.0,16854.0,130660.0,25.9
2009,"Congressional District 14 (111th Congress), Michigan",852,36.9,38828.0,17915.0,126065.0,23.5
2009,"Congressional District 15 (111th Congress), Michigan",970,36.2,61185.0,23478.0,125665.0,13.5
2009,"Congressional District 1 (111th Congress), Minnesota",776,38.5,69089.0,25341.0,136030.0,6.1
2009,"Congressional District 2 (111th Congress), Minnesota",1357,35.8,114244.0,33855.0,121382.0,7.7
2009,"Congressional District 3 (111th Congress), Minnesota",1340,39.4,134807.0,35197.0,88863.0,7.4
2009,"Congressional District 4 (111th Congress), Minnesota",974,36.0,94345.0,27713.0,103590.0,9.2
2009,"Congressional District 5 (111th Congress), Minnesota",1058,33.0,112474.0,27427.0,85436.0,9.3
2009,"Congressional District 6 (111th Congress), Minnesota",1313,35.5,95485.0,30722.0,139534.0,8.6
2009,"Congressional District 7 (111th Congress), Minnesota",697,40.9,56381.0,23515.0,143520.0,7.1
2009,"Congressional District 8 (111th Congress), Minnesota",782,42.1,62147.0,22771.0,153808.0,9.9
2009,"Congressional District 1 (111th Congress), Mississippi",651,36.2,59239.0,19763.0,157702.0,10.7
2009,"Congressional District 2 (111th Congress), Mississippi",601,33.7,48275.0,16617.0,119660.0,14.9
2009,"Congressional District 3 (111th Congress), Mississippi",659,35.1,70515.0,19883.0,140265.0,8.2
2009,"Congressional District 4 (111th Congress), Mississippi",712,35.2,56003.0,20495.0,155000.0,9.7
2009,"Congressional District 1 (111th Congress), Missouri",854,36.0,56586.0,22114.0,104239.0,13.7
2009,"Congressional District 2 (111th Congress), Missouri",1208,39.1,120975.0,33070.0,107540.0,6.7
2009,"Congressional District 3 (111th Congress), Missouri",863,37.3,75563.0,26107.0,129020.0,9.2
2009,"Congressional District 4 (111th Congress), Missouri",629,38.3,49740.0,21148.0,166233.0,8.5
2009,"Congressional District 5 (111th Congress), Missouri",846,36.1,76597.0,24875.0,133918.0,10.7
2009,"Congressional District 6 (111th Congress), Missouri",809,37.7,77907.0,26836.0,160573.0,5.8
2009,"Congressional District 7 (111th Congress), Missouri",684,36.3,66129.0,19911.0,149032.0,10.0
2009,"Congressional District 8 (111th Congress), Missouri",518,39.4,39164.0,17979.0,167887.0,10.0
2009,"Congressional District 9 (111th Congress), Missouri",720,36.7,60818.0,22108.0,148567.0,7.7
2009,"Congressional District (at Large) (111th Congress), Montana",691,39.3,123649.0,21240.0,204204.0,7.9
2009,"Congressional District 1 (111th Congress), Nebraska",757,34.9,74363.0,24264.0,112916.0,6.8
2009,"Congressional District 2 (111th Congress), Nebraska",942,33.1,89793.0,27492.0,94142.0,6.9
2009,"Congressional District 3 (111th Congress), Nebraska",613,40.4,50263.0,22033.0,122522.0,4.2
2009,"Congressional District 1 (111th Congress), Nevada",1131,32.3,56744.0,24840.0,149629.0,13.5
2009,"Congressional District 2 (111th Congress), Nevada",1057,38.1,76071.0,26654.0,154024.0,11.7
2009,"Congressional District 3 (111th Congress), Nevada",1332,36.2,112882.0,31138.0,192824.0,11.2
2009,"Congressional District 1 (111th Congress), New Hampshire",1279,40.2,93096.0,29577.0,132154.0,7.6
2009,"Congressional District 2 (111th Congress), New Hampshire",1192,40.6,94716.0,28492.0,138218.0,8.1
2009,"Congressional District 1 (111th Congress), New Jersey",1246,37.4,78469.0,29144.0,149807.0,11.5
2009,"Congressional District 2 (111th Congress), New Jersey",1216,39.3,71049.0,27216.0,173637.0,12.3
2009,"Congressional District 3 (111th Congress), New Jersey",1537,42.8,101916.0,32466.0,158868.0,10.1
2009,"Congressional District 4 (111th Congress), New Jersey",1504,39.0,92067.0,30453.0,145412.0,9.1
2009,"Congressional District 5 (111th Congress), New Jersey",1975,42.4,123648.0,39807.0,124126.0,7.9
2009,"Congressional District 6 (111th Congress), New Jersey",1484,36.5,95801.0,30624.0,134186.0,10.4
2009,"Congressional District 7 (111th Congress), New Jersey",1917,40.5,119846.0,41175.0,111554.0,7.8
2009,"Congressional District 8 (111th Congress), New Jersey",1472,37.2,89056.0,29558.0,130764.0,8.9
2009,"Congressional District 9 (111th Congress), New Jersey",1442,38.7,105297.0,35014.0,124467.0,7.8
2009,"Congressional District 10 (111th Congress), New Jersey",1161,33.9,58019.0,24682.0,142890.0,14.6
2009,"Congressional District 11 (111th Congress), New Jersey",2001,41.3,135053.0,41908.0,98733.0,7.3
2009,"Congressional District 12 (111th Congress), New Jersey",1723,40.1,122762.0,38135.0,107303.0,9.1
2009,"Congressional District 13 (111th Congress), New Jersey",1198,34.2,80203.0,25907.0,132727.0,10.6
2009,"Congressional District 1 (111th Congress), New Mexico",856,35.5,77440.0,24715.0,108908.0,7.2
2009,"Congressional District 2 (111th Congress), New Mexico",572,34.4,49054.0,18484.0,109656.0,11.2
2009,"Congressional District 3 (111th Congress), New Mexico",732,36.3,66054.0,23250.0,122043.0,9.1
2009,"Congressional District 1 (111th Congress), New York",1871,39.6,84266.0,34841.0,152987.0,6.8
2009,"Congressional District 2 (111th Congress), New York",2137,40.3,87275.0,32560.0,135091.0,7.6
2009,"Congressional District 3 (111th Congress), New York",2043,43.3,96021.0,36742.0,137075.0,6.8
2009,"Congressional District 4 (111th Congress), New York",1887,39.1,90116.0,33254.0,118193.0,7.7
2009,"Congressional District 5 (111th Congress), New York",1394,39.5,101052.0,28940.0,125248.0,9.1
2009,"Congressional District 6 (111th Congress), New York",1352,36.2,68989.0,28364.0,130716.0,11.2
2009,"Congressional District 7 (111th Congress), New York",1068,37.8,78342.0,25695.0,129307.0,9.2
2009,"Congressional District 8 (111th Congress), New York",1445,37.1,146164.0,36779.0,88675.0,8.1
2009,"Congressional District 9 (111th Congress), New York",1208,40.4,109406.0,30264.0,132727.0,9.3
2009,"Congressional District 10 (111th Congress), New York",1090,32.6,63589.0,23989.0,128209.0,10.0
2009,"Congressional District 11 (111th Congress), New York",1113,34.0,89676.0,27080.0,123676.0,11.1
2009,"Congressional District 12 (111th Congress), New York",1115,33.3,83905.0,21633.0,106137.0,9.7
2009,"Congressional District 13 (111th Congress), New York",1292,38.8,82663.0,30382.0,160498.0,8.1
2009,"Congressional District 14 (111th Congress), New York",1635,38.1,186320.0,50324.0,60042.0,8.2
2009,"Congressional District 15 (111th Congress), New York",955,34.3,89932.0,22045.0,84816.0,13.1
2009,"Congressional District 16 (111th Congress), New York",868,29.2,31378.0,14433.0,102709.0,16.1
2009,"Congressional District 17 (111th Congress), New York",1214,36.3,82265.0,28717.0,110983.0,10.3
2009,"Congressional District 18 (111th Congress), New York",1810,39.9,105774.0,37887.0,100204.0,7.6
2009,"Congressional District 19 (111th Congress), New York",1746,39.9,93405.0,34231.0,127750.0,7.3
2009,"Congressional District 20 (111th Congress), New York",1012,42.2,78674.0,28452.0,152672.0,7.7
