year,district,black_pop,total_pop,white_pop,mortgage_cost,median_age,bach_deg_num,high_school_num,median_HH_income,unemp_rate
2015,"Congressional District 3 (114th Congress), Iowa",33732,812464,723549,911,36.7,118712.0,153153.0,31439.0,4.7
2015,"Congressional District 4 (114th Congress), Iowa",12700,761218,703293,679,38.9,83971.0,164845.0,26552.0,3.7
2015,"Congressional District 1 (114th Congress), Kansas",21759,715330,623232,718,35.3,72958.0,129618.0,25881.0,4.8
2015,"Congressional District 2 (114th Congress), Kansas",31469,715752,625863,771,37.1,79705.0,141054.0,26024.0,5.1
2015,"Congressional District 3 (114th Congress), Kansas",64708,755396,612722,1099,36.5,148970.0,97507.0,35768.0,4.2
2015,"Congressional District 4 (114th Congress), Kansas",54173,725163,603982,799,36.1,82862.0,133099.0,27781.0,4.5
2015,"Congressional District 1 (114th Congress), Kentucky",52556,723466,647190,593,40.1,47235.0,191819.0,21692.0,6.3
2015,"Congressional District 2 (114th Congress), Kentucky",42124,747645,666454,715,38.5,58493.0,177680.0,23380.0,6.6
2015,"Congressional District 3 (114th Congress), Kentucky",157930,742828,537232,856,38.0,99041.0,141055.0,27346.0,6.1
2015,"Congressional District 4 (114th Congress), Kentucky",26388,750449,692782,864,38.6,83804.0,164696.0,27833.0,5.2
2015,"Congressional District 5 (114th Congress), Kentucky",10647,707534,684736,484,40.9,32983.0,185451.0,17724.0,10.0
2015,"Congressional District 6 (114th Congress), Kentucky",66073,753170,637318,813,36.9,85309.0,141840.0,25636.0,5.9
2015,"Congressional District 1 (114th Congress), Louisiana",113677,806140,639098,903,38.1,106605.0,166181.0,28065.0,5.8
2015,"Congressional District 2 (114th Congress), Louisiana",478785,791393,257161,837,35.6,76900.0,167837.0,22438.0,9.3
2015,"Congressional District 3 (114th Congress), Louisiana",190762,782417,550483,662,35.7,71436.0,185566.0,23809.0,7.2
2015,"Congressional District 4 (114th Congress), Louisiana",259324,758913,461445,660,36.5,62669.0,181235.0,22387.0,7.4
2015,"Congressional District 5 (114th Congress), Louisiana",269584,746021,459743,579,37.3,55654.0,192761.0,20026.0,8.2
2015,"Congressional District 6 (114th Congress), Louisiana",190243,785840,546763,907,35.2,97475.0,162953.0,30331.0,5.0
2015,"Congressional District 1 (114th Congress), Maine",9651,672009,633698,1046,44.5,116954.0,141438.0,29404.0,4.4
2015,"Congressional District 2 (114th Congress), Maine",5144,657319,624376,746,44.6,70559.0,172894.0,22692.0,6.4
2015,"Congressional District 1 (114th Congress), Maryland",85217,725499,601650,1198,42.4,90929.0,162229.0,32114.0,5.2
2015,"Congressional District 2 (114th Congress), Maryland",262583,763156,423026,1250,36.3,95806.0,147794.0,32023.0,5.7
2015,"Congressional District 3 (114th Congress), Maryland",151158,758683,494203,1521,36.7,131936.0,110320.0,39773.0,5.4
2015,"Congressional District 4 (114th Congress), Maryland",394713,745629,216190,1511,36.8,98830.0,129226.0,36961.0,5.6
2015,"Congressional District 5 (114th Congress), Maryland",286218,760734,378886,1727,38.2,101324.0,136234.0,42106.0,4.7
2015,"Congressional District 6 (114th Congress), Maryland",105018,761921,520219,1416,38.4,111843.0,124718.0,35388.0,4.5
2015,"Congressional District 7 (114th Congress), Maryland",393457,729001,254691,1171,38.3,101932.0,129719.0,30550.0,8.4
2015,"Congressional District 8 (114th Congress), Maryland",91797,761778,506183,1744,40.0,133752.0,89085.0,42293.0,4.6
2015,"Congressional District 1 (114th Congress), Massachusetts",46172,736190,626968,1037,41.0,87258.0,155398.0,26621.0,6.9
2015,"Congressional District 2 (114th Congress), Massachusetts",39694,744886,625647,1204,39.1,105556.0,138592.0,29572.0,6.5
2015,"Congressional District 3 (114th Congress), Massachusetts",25736,754068,587198,1364,39.0,107278.0,141538.0,32062.0,5.9
2015,"Congressional District 4 (114th Congress), Massachusetts",21406,750331,652907,1629,40.9,132924.0,103119.0,40327.0,5.3
2015,"Congressional District 5 (114th Congress), Massachusetts",37888,765922,598090,1676,39.5,145372.0,106332.0,41066.0,3.9
2015,"Congressional District 6 (114th Congress), Massachusetts",25920,761166,649968,1572,42.1,132535.0,135168.0,35796.0,5.1
2015,"Congressional District 7 (114th Congress), Massachusetts",206372,777588,389836,1551,31.7,117449.0,120424.0,28628.0,6.7
2015,"Congressional District 8 (114th Congress), Massachusetts",73099,764789,589801,1581,39.0,149674.0,129365.0,37973.0,5.7
2015,"Congressional District 9 (114th Congress), Massachusetts",23070,739482,652823,1268,45.6,108669.0,154487.0,30664.0,6.5
2015,"Congressional District 1 (114th Congress), Michigan",11590,700136,644995,704,46.4,78341.0,169397.0,23482.0,6.7
2015,"Congressional District 2 (114th Congress), Michigan",48177,731188,618624,793,37.0,82141.0,151382.0,25118.0,5.4
2015,"Congressional District 3 (114th Congress), Michigan",59996,730423,612470,851,36.9,97475.0,139066.0,26190.0,6.2
2015,"Congressional District 4 (114th Congress), Michigan",13604,701635,658633,744,41.0,61701.0,170575.0,23382.0,6.6
2015,"Congressional District 5 (114th Congress), Michigan",114774,682716,529329,730,41.1,59424.0,157782.0,23254.0,9.5
2015,"Congressional District 6 (114th Congress), Michigan",59654,713644,602375,775,38.8,80573.0,139550.0,25789.0,6.6
2015,"Congressional District 7 (114th Congress), Michigan",30703,697627,635042,853,42.0,71884.0,162304.0,27116.0,5.4
2015,"Congressional District 8 (114th Congress), Michigan",38579,728781,624394,1023,38.5,110661.0,105331.0,31029.0,5.9
2015,"Congressional District 9 (114th Congress), Michigan",95861,717641,568195,904,41.1,90309.0,142135.0,29280.0,6.7
2015,"Congressional District 10 (114th Congress), Michigan",19660,715535,662069,902,42.3,71908.0,162688.0,28738.0,6.0
2015,"Congressional District 11 (114th Congress), Michigan",43959,720585,577662,1152,41.1,132576.0,95633.0,37179.0,4.2
2015,"Congressional District 12 (114th Congress), Michigan",74487,708020,563070,932,35.9,84524.0,117597.0,28596.0,6.5
2015,"Congressional District 13 (114th Congress), Michigan",376665,679235,259550,727,36.2,45405.0,148659.0,19384.0,14.6
2015,"Congressional District 14 (114th Congress), Michigan",390402,695410,245075,887,38.0,78624.0,117373.0,22305.0,12.8
2015,"Congressional District 1 (114th Congress), Minnesota",18381,668741,608338,808,38.4,81420.0,134865.0,30012.0,3.9
2015,"Congressional District 2 (114th Congress), Minnesota",28447,695029,589617,1234,37.7,123457.0,106486.0,36880.0,3.7
2015,"Congressional District 3 (114th Congress), Minnesota",51343,700121,572092,1277,39.8,153699.0,88796.0,40561.0,3.7
2015,"Congressional District 4 (114th Congress), Minnesota",70188,704158,508360,1095,35.7,123662.0,98566.0,31781.0,5.1
2015,"Congressional District 5 (114th Congress), Minnesota",120100,707578,478270,1094,34.0,134207.0,87156.0,31080.0,5.0
2015,"Congressional District 6 (114th Congress), Minnesota",16698,687034,628581,1150,37.0,91637.0,120765.0,34137.0,3.9
2015,"Congressional District 7 (114th Congress), Minnesota",8693,663263,612278,740,41.0,69055.0,149240.0,28347.0,3.3
2015,"Congressional District 8 (114th Congress), Minnesota",6417,663670,617263,814,43.2,70447.0,155296.0,26640.0,4.6
2015,"Congressional District 1 (114th Congress), Mississippi",209799,758765,525360,679,37.7,65058.0,155945.0,22747.0,7.7
