year,district,black_pop,total_pop,white_pop,mortgage_cost,median_age,bach_deg_num,median_HH_income,high_school_num,unemp_rate
2006,"Congressional District 5 (109th Congress), Indiana",26975,777631,713849,934,36.4,113391.0,29025.0,148939.0,5.0
2006,"Congressional District 6 (109th Congress), Indiana",28549,668947,624556,671,38.5,45781.0,21780.0,190237.0,7.3
2006,"Congressional District 7 (109th Congress), Indiana",205872,641305,384543,742,35.1,56733.0,22252.0,144119.0,10.0
2006,"Congressional District 8 (109th Congress), Indiana",26645,672590,630733,649,38.6,46088.0,20984.0,170873.0,6.6
2006,"Congressional District 9 (109th Congress), Indiana",16420,701787,660784,710,36.5,49325.0,22556.0,186857.0,6.0
2006,"Congressional District 1 (109th Congress), Iowa",23059,588403,544420,669,38.1,60810.0,22578.0,144902.0,5.3
2006,"Congressional District 2 (109th Congress), Iowa",15952,600154,556942,718,36.5,70969.0,23932.0,124971.0,5.4
2006,"Congressional District 3 (109th Congress), Iowa",20535,623821,563320,817,36.9,77709.0,26093.0,138605.0,4.7
2006,"Congressional District 4 (109th Congress), Iowa",4287,591185,562101,656,38.0,62352.0,22266.0,138276.0,4.2
2006,"Congressional District 5 (109th Congress), Iowa",3464,578522,545752,616,39.7,52689.0,21770.0,148619.0,4.9
2006,"Congressional District 1 (109th Congress), Kansas",10041,647996,584686,558,39.1,55987.0,20618.0,142579.0,4.0
2006,"Congressional District 2 (109th Congress), Kansas",34685,691312,606715,660,35.8,71242.0,21883.0,151266.0,5.4
2006,"Congressional District 3 (109th Congress), Kansas",62655,737283,602174,1029,34.7,132417.0,29231.0,103726.0,5.4
2006,"Congressional District 4 (109th Congress), Kansas",46179,687484,567472,705,36.1,71891.0,23627.0,138466.0,6.3
2006,"Congressional District 1 (109th Congress), Kentucky",44258,673899,608388,499,38.3,35152.0,18054.0,175218.0,7.3
2006,"Congressional District 2 (109th Congress), Kentucky",42591,728259,663779,632,36.7,46212.0,21013.0,181019.0,6.4
2006,"Congressional District 3 (109th Congress), Kentucky",137206,681111,513034,776,38.9,76780.0,24367.0,136951.0,7.3
2006,"Congressional District 4 (109th Congress), Kentucky",19991,716879,677759,743,37.1,61234.0,23396.0,171983.0,6.7
2006,"Congressional District 5 (109th Congress), Kentucky",8501,684339,666955,381,37.7,30806.0,14552.0,170529.0,8.3
2006,"Congressional District 6 (109th Congress), Kentucky",57599,721587,632656,705,35.7,82296.0,22676.0,140158.0,5.9
2006,"Congressional District 1 (109th Congress), Louisiana",102441,652970,521041,807,38.7,81293.0,23718.0,131578.0,6.1
2006,"Congressional District 2 (109th Congress), Louisiana",221459,392934,146304,844,37.2,31687.0,17693.0,83095.0,11.6
2006,"Congressional District 3 (109th Congress), Louisiana",169753,612620,411590,570,35.1,33857.0,19038.0,156290.0,6.0
2006,"Congressional District 4 (109th Congress), Louisiana",225272,647830,397894,554,35.3,49342.0,19406.0,156236.0,8.2
2006,"Congressional District 5 (109th Congress), Louisiana",217663,637011,400375,517,35.0,44954.0,16292.0,144935.0,9.5
2006,"Congressional District 6 (109th Congress), Louisiana",244609,689923,420243,744,33.9,70665.0,21916.0,143182.0,7.9
2006,"Congressional District 7 (109th Congress), Louisiana",175784,654480,462786,541,35.0,55271.0,18812.0,146574.0,7.1
2006,"Congressional District 1 (109th Congress), Maine",7441,668529,642427,913,41.1,95997.0,25336.0,152146.0,4.7
2006,"Congressional District 2 (109th Congress), Maine",6228,653045,623114,622,40.9,59689.0,19904.0,185529.0,6.0
2006,"Congressional District 1 (109th Congress), Maryland",82320,712911,602512,1085,39.4,92085.0,30530.0,147636.0,4.8
2006,"Congressional District 2 (109th Congress), Maryland",216950,690810,424751,1000,36.6,69779.0,29085.0,143554.0,6.3
